manufacturer,year,model,total_range_in_mls,electric_consumption,electric_storage,analogue_consumption,analogue_storage,emission_value,min_price,max_price,car_type
Chevrolet,2023,Bolt EV,259,120,7.5,0,0.0,0,26500.0,29700.0,Electricity
Chevrolet,2022,Bolt EV,259,120,7.5,0,0.0,0,31000.0,34200.0,Electricity
Chevrolet,2019,Bolt EV,238,119,9.3,0,0.0,0,36620.0,41020.0,Electricity
Chevrolet,2021,Bolt EV,259,118,10.0,0,0.0,0,36500.0,41700.0,Electricity
Chevrolet,2020,Bolt EV,259,118,10.0,0,0.0,0,36620.0,41020.0,Electricity
Chevrolet,2023,Bolt EUV,247,115,7.5,0,0.0,0,27800.0,32300.0,Electricity
Chevrolet,2022,Bolt EUV,247,115,7.5,0,0.0,0,33000.0,37500.0,Electricity
Chevrolet,2024,Blazer EV AWD,279,96,9.5,0,0.0,0,50195.0,56200.0,Electricity
Chevrolet,2019,Volt,393,106,4.5,106,8.9,51,33520.0,38120.0,Electricity
Chevrolet,2024,Silverado EV,450,67,11.0,0,0.0,0,,,Electricity
Chevrolet,2024,Silverado EV,598,63,12.7,0,0.0,0,,,Electricity
Chevrolet,2019,Malibu Hybrid,500,0,0.0,46,13.0,194,28220.0,28220.0,Regular Gasoline
Chevrolet,2019,Cruze,472,0,0.0,37,13.5,294,17995.0,25620.0,Diesel
Chevrolet,2019,Cruze Hatchback,452,0,0.0,35,13.5,310,19620.0,26120.0,Diesel
Chevrolet,2019,Cruze,297,0,0.0,33,13.7,267,17995.0,25620.0,Regular Gasoline
Chevrolet,2022,Spark,297,0,0.0,33,9.0,266,13600.0,18100.0,Regular Gasoline
Chevrolet,2021,Spark,297,0,0.0,33,9.0,266,13400.0,17900.0,Regular Gasoline
Chevrolet,2020,Spark,297,0,0.0,33,9.0,269,13220.0,17720.0,Regular Gasoline
Chevrolet,2019,Spark,297,0,0.0,33,9.0,271,13220.0,17720.0,Regular Gasoline
Chevrolet,2022,Spark ACTIV,297,0,0.0,33,9.0,266,16600.0,17700.0,Regular Gasoline
Chevrolet,2021,Spark ACTIV,297,0,0.0,33,9.0,266,16400.0,17500.0,Regular Gasoline
Chevrolet,2020,Spark ACTIV,297,0,0.0,33,9.0,269,16220.0,17320.0,Regular Gasoline
Chevrolet,2019,Spark ACTIV,297,0,0.0,33,9.0,271,16220.0,17320.0,Regular Gasoline
Chevrolet,2022,Spark,297,0,0.0,33,9.0,273,13600.0,18100.0,Regular Gasoline
Chevrolet,2021,Spark,297,0,0.0,33,9.0,273,13400.0,17900.0,Regular Gasoline
Chevrolet,2020,Spark,297,0,0.0,33,9.0,273,13220.0,17720.0,Regular Gasoline
Chevrolet,2019,Spark,288,0,0.0,33,9.0,273,13220.0,17720.0,Regular Gasoline
Chevrolet,2022,Spark ACTIV,288,0,0.0,32,9.0,278,16600.0,17700.0,Regular Gasoline
Chevrolet,2021,Spark ACTIV,288,0,0.0,32,9.0,278,16400.0,17500.0,Regular Gasoline
Chevrolet,2020,Spark ACTIV,288,0,0.0,32,9.0,278,16220.0,17320.0,Regular Gasoline
Chevrolet,2019,Spark ACTIV,506,0,0.0,32,9.0,278,16220.0,17320.0,Regular Gasoline
Chevrolet,2022,Malibu,506,0,0.0,32,15.8,275,23400.0,33500.0,Regular Gasoline
Chevrolet,2021,Malibu,506,0,0.0,32,15.8,273,22140.0,33370.0,Regular Gasoline
Chevrolet,2020,Malibu,477,0,0.0,32,15.8,298,22095.0,33320.0,Regular Gasoline
Chevrolet,2019,Malibu,438,0,0.0,32,0.0,281,22090.0,31820.0,Regular Gasoline
Chevrolet,2019,Equinox FWD,438,0,0.0,32,14.9,321,23800.0,33900.0,Diesel
Chevrolet,2019,Cruze,438,0,0.0,32,13.7,277,17995.0,25620.0,Regular Gasoline
Chevrolet,2019,Cruze Hatchback,499,0,0.0,32,13.7,277,19620.0,26120.0,Regular Gasoline
Chevrolet,2019,Cruze Premier,409,0,0.0,32,13.7,277,,,Regular Gasoline
Chevrolet,2019,Equinox AWD,409,0,0.0,32,15.6,319,27600.0,35700.0,Diesel
Chevrolet,2024,Trailblazer FWD,409,0,0.0,31,13.2,290,23100.0,27100.0,Regular Gasoline
Chevrolet,2023,Trailblazer FWD,409,0,0.0,31,13.2,290,22100.0,26200.0,Regular Gasoline
Chevrolet,2022,Trailblazer FWD,425,0,0.0,31,13.2,289,21600.0,25700.0,Regular Gasoline
