emission_value,min_price,max_price,car_type
0,26500.0,29700.0,Electricity
0,31000.0,34200.0,Electricity
0,36620.0,41020.0,Electricity
0,36500.0,41700.0,Electricity
0,36620.0,41020.0,Electricity
0,27800.0,32300.0,Electricity
0,33000.0,37500.0,Electricity
0,50195.0,56200.0,Electricity
51,33520.0,38120.0,Electricity
0,,,Electricity
0,,,Electricity
194,28220.0,28220.0,Regular Gasoline
294,17995.0,25620.0,Diesel
310,19620.0,26120.0,Diesel
267,17995.0,25620.0,Regular Gasoline
266,13600.0,18100.0,Regular Gasoline
266,13400.0,17900.0,Regular Gasoline
269,13220.0,17720.0,Regular Gasoline
271,13220.0,17720.0,Regular Gasoline
266,16600.0,17700.0,Regular Gasoline
266,16400.0,17500.0,Regular Gasoline
269,16220.0,17320.0,Regular Gasoline
271,16220.0,17320.0,Regular Gasoline
273,13600.0,18100.0,Regular Gasoline
273,13400.0,17900.0,Regular Gasoline
273,13220.0,17720.0,Regular Gasoline
273,13220.0,17720.0,Regular Gasoline
278,16600.0,17700.0,Regular Gasoline
278,16400.0,17500.0,Regular Gasoline
278,16220.0,17320.0,Regular Gasoline
278,16220.0,17320.0,Regular Gasoline
275,23400.0,33500.0,Regular Gasoline
273,22140.0,33370.0,Regular Gasoline
298,22095.0,33320.0,Regular Gasoline
281,22090.0,31820.0,Regular Gasoline
321,23800.0,33900.0,Diesel
277,17995.0,25620.0,Regular Gasoline
277,19620.0,26120.0,Regular Gasoline
277,,,Regular Gasoline
319,27600.0,35700.0,Diesel
290,23100.0,27100.0,Regular Gasoline
290,22100.0,26200.0,Regular Gasoline
289,21600.0,25700.0,Regular Gasoline
288,19000.0,25400.0,Regular Gasoline
286,,,Regular Gasoline
285,15420.0,20720.0,Regular Gasoline
296,22100.0,26200.0,Regular Gasoline
296,21600.0,25700.0,Regular Gasoline
298,20400.0,23900.0,Regular Gasoline
292,25000.0,31500.0,Regular Gasoline
302,19000.0,25400.0,Regular Gasoline
301,18020.0,21520.0,Regular Gasoline
308,16720.0,20720.0,Regular Gasoline
308,15420.0,20720.0,Regular Gasoline
308,19420.0,21520.0,Regular Gasoline
308,18020.0,21520.0,Regular Gasoline
315,23800.0,33900.0,Regular Gasoline
310,26600.0,31800.0,Regular Gasoline
317,26600.0,31800.0,Regular Gasoline
318,25800.0,31000.0,Regular Gasoline
318,23800.0,31400.0,Regular Gasoline
315,23800.0,34100.0,Regular Gasoline
316,21300.0,27600.0,Regular Gasoline
316,21400.0,23200.0,Regular Gasoline
316,21300.0,27600.0,Regular Gasoline
320,24100.0,27700.0,Regular Gasoline
313,23600.0,27200.0,Regular Gasoline
314,23500.0,26900.0,Regular Gasoline
329,25100.0,28700.0,Regular Gasoline
327,27400.0,32600.0,Regular Gasoline
330,27900.0,33000.0,Regular Gasoline
324,27900.0,35700.0,Regular Gasoline
334,27600.0,35700.0,Regular Gasoline
329,21400.0,23200.0,Regular Gasoline
325,21400.0,23200.0,Regular Gasoline
383,29300.0,53900.0,Diesel
383,28300.0,53300.0,Diesel
339,28200.0,33400.0,Regular Gasoline
340,28200.0,33400.0,Regular Gasoline
396,36300.0,62100.0,Diesel
344,22900.0,24700.0,Regular Gasoline
344,22800.0,29100.0,Regular Gasoline
344,22800.0,29100.0,Regular Gasoline
387,34600.0,59800.0,Diesel
342,22020.0,23820.0,Regular Gasoline
338,22900.0,24700.0,Regular Gasoline
397,36800.0,62700.0,Diesel
342,23400.0,33500.0,Premium Gasoline
342,22140.0,33370.0,Regular Gasoline
344,22095.0,33320.0,Premium Gasoline
344,22090.0,31820.0,Premium Gasoline
405,35500.0,56800.0,Diesel
353,,,Premium Gasoline
354,25000.0,68000.0,Premium Gasoline
360,26400.0,73300.0,Premium Gasoline
358,,,Premium Gasoline
358,25000.0,69000.0,Premium Gasoline
358,35400.0,42800.0,Regular Gasoline
365,35100.0,42800.0,Regular Gasoline
358,33400.0,41100.0,Regular Gasoline
349,28800.0,42700.0,Regular Gasoline
350,23800.0,34100.0,Premium Gasoline
350,23800.0,33900.0,Premium Gasoline
362,28020.0,36720.0,Regular Gasoline
416,41400.0,66500.0,Diesel
367,27900.0,35700.0,Premium Gasoline
367,27600.0,35700.0,Premium Gasoline
368,38100.0,45700.0,Regular Gasoline
