electric_consumption,electric_storage,analogue_consumption,analogue_storage
120,7.5,0,0
120,7.5,0,0
119,9.3,0,0
118,10,0,0
118,10,0,0
115,7.5,0,0
115,7.5,0,0
96,9.5,0,0
106,4.5,106,8.9
67,11,0,0
63,12.7,0,0
0,0,46,13.0
0,0,37,13.5
0,0,35,13.5
0,0,33,13.7
0,0,33,9.0
0,0,33,9.0
0,0,33,9.0
0,0,33,9.0
0,0,33,9.0
0,0,33,9.0
0,0,33,9.0
0,0,33,9.0
0,0,33,9.0
0,0,33,9.0
0,0,33,9.0
0,0,33,9.0
0,0,32,9.0
0,0,32,9.0
0,0,32,9.0
0,0,32,9.0
0,0,32,15.8
0,0,32,15.8
0,0,32,15.8
0,0,32,0
0,0,32,14.9
0,0,32,13.7
0,0,32,13.7
0,0,32,13.7
0,0,32,15.6
0,0,31,13.2
0,0,31,13.2
0,0,31,13.2
0,0,31,13.2
0,0,31,13.7
0,0,31,12.2
0,0,30,13.2
0,0,30,13.2
0,0,30,0
0,0,30,15.8
0,0,29,13.2
0,0,29,12.2
0,0,29,12.2
0,0,29,12.2
0,0,29,12.2
0,0,29,12.2
0,0,28,14.9
0,0,28,14.9
0,0,28,14.9
0,0,28,14.9
0,0,28,14.9
0,0,28,14.9
0,0,28,14.0
0,0,28,14.0
0,0,28,14.0
0,0,28,13.2
0,0,28,13.2
0,0,28,13.2
0,0,27,13.2
0,0,27,15.6
0,0,27,15.6
0,0,27,15.6
0,0,27,15.6
0,0,27,14.0
0,0,27,14.0
0,0,27,24.0
0,0,27,24.0
0,0,26,15.6
0,0,26,15.6
0,0,26,24.0
0,0,26,14.0
0,0,26,14.0
0,0,26,14.0
0,0,26,24.0
0,0,26,14.0
0,0,26,14.0
0,0,26,24.0
0,0,26,15.8
0,0,26,15.8
0,0,26,15.8
0,0,26,15.8
0,0,25,24.0
0,0,25,19.0
0,0,25,19.0
0,0,25,19.0
0,0,25,19.0
0,0,25,19.0
0,0,25,19.4
0,0,25,19.4
0,0,25,19.4
0,0,25,19.4
0,0,25,14.9
0,0,25,14.9
0,0,25,18.5
0,0,24,24.0
0,0,24,15.6
0,0,24,15.6
0,0,24,21.7
0,0,24,21.7
0,0,24,21.7
0,0,24,21.7
0,0,24,19.4
0,0,24,24.0
0,0,24,24.0
0,0,24,24.0
0,0,24,24.0
0,0,24,19.4
0,0,24,24.0
0,0,24,24.0
0,0,24,24.0
0,0,24,28.0
0,0,23,24.0
0,0,23,21.7
0,0,23,19.4
0,0,23,19.4
0,0,23,28.0
0,0,23,28.0
0,0,23,28.0
0,0,23,28.0
0,0,23,24.0
0,0,23,19.0
0,0,23,19.0
0,0,23,21.0
0,0,23,21.0
0,0,23,21.0
0,0,23,21.0
0,0,22,24.0
0,0,22,24.0
0,0,22,24.0
0,0,22,19.4
0,0,22,19.4
0,0,22,21.0
0,0,22,21.0
0,0,22,21.0
0,0,22,28.0
0,0,22,28.0
0,0,22,28.0
0,0,22,28.0
0,0,22,24.0
0,0,22,24.0
0,0,22,24.0
0,0,22,28.0
0,0,22,0
0,0,22,21.4
0,0,22,21.4
0,0,22,19.0
0,0,22,19.0
0,0,22,19.0
0,0,22,19.0
0,0,22,19.0
0,0,22,21.0
0,0,22,21.0
0,0,22,21.0
0,0,22,21.0
0,0,22,18.5
0,0,22,18.5
0,0,22,19.4
0,0,22,19.4
0,0,22,19.4
0,0,22,21.0
0,0,22,21.0
0,0,22,19.0
0,0,22,19.0
0,0,22,19.0
0,0,22,19.0
0,0,22,18.5
0,0,22,18.5
0,0,21,24.0
0,0,21,24.0
0,0,21,24.0
0,0,21,24.0
0,0,21,24.0
0,0,21,24.0
0,0,21,21.7
0,0,21,21.7
0,0,21,19.4
0,0,21,19.4
0,0,21,21.4
0,0,21,21.0
0,0,21,21.0
0,0,21,21.0
0,0,21,21.0
0,0,21,21.4
0,0,21,0
0,0,21,0
0,0,21,0
0,0,21,0
0,0,21,0
0,0,21,21.7
0,0,21,19.4
0,0,21,21.7
0,0,21,21.7
0,0,21,21.0
0,0,21,21.0
0,0,20,24.0
0,0,20,24.0
0,0,20,24.0
0,0,20,24.0
0,0,20,24.0
0,0,20,24.0
0,0,20,24.0
0,0,20,24.0
0,0,20,24.0
0,0,20,24.0
0,0,20,24.0
0,0,20,21.0
0,0,20,21.0
0,0,20,21.4
0,0,20,24.0
0,0,20,21.4
0,0,20,24.0
0,0,20,0
0,0,20,0
0,0,20,0
0,0,20,0
0,0,20,0
0,0,20,21.7
0,0,20,24.0
0,0,20,19.0
0,0,20,19.0
0,0,20,19.0
0,0,20,19.0
0,0,20,19.0
0,0,20,19.0
0,0,20,19.0
0,0,20,19.0
0,0,20,19.0
0,0,20,19.0
0,0,20,19.0
0,0,20,19.0
0,0,19,21.0
0,0,19,21.0
0,0,19,21.0
0,0,19,21.0
0,0,19,24.0
0,0,19,24.0
0,0,19,24.0
0,0,19,24.0
0,0,19,21.0
0,0,19,21.0
0,0,19,21.0
0,0,19,21.0
0,0,19,24.0
0,0,19,24.0
0,0,19,24.0
0,0,19,24.0
0,0,19,21.4
0,0,19,24.0
0,0,19,24.0
0,0,19,24.0
0,0,19,18.5
0,0,19,18.5
0,0,19,19.0
0,0,19,19.0
0,0,19,19.0
0,0,19,19.0
0,0,19,19.0
0,0,19,19.0
0,0,19,18.5
0,0,19,18.5
0,0,19,18.5
0,0,19,24.0
0,0,19,24.0
0,0,19,18.5
0,0,19,18.5
0,0,18,21.4
0,0,18,24.0
0,0,18,24.0
0,0,18,21.4
0,0,18,24.0
0,0,18,24.0
0,0,18,24.0
0,0,18,24.0
0,0,18,24.0
0,0,18,24.0
0,0,18,24.0
0,0,18,24.0
0,0,18,24.0
0,0,18,24.0
