manufacturers,year,model,total_range_in_miles,emission_value,min_price,max_price,car_type,electric_consumption,electric_storage,analogue_consumption,analogue_storage,links
Chevrolet,2023,Bolt EV,259,0,26500.0,29700.0,Electricity,120,7.5,0,0,Find.do?action=sbs&id=45751
Chevrolet,2022,Bolt EV,259,0,31000.0,34200.0,Electricity,120,7.5,0,0,Find.do?action=sbs&id=43955
Chevrolet,2019,Bolt EV,238,0,36620.0,41020.0,Electricity,119,9.3,0,0,Find.do?action=sbs&id=40520
Chevrolet,2021,Bolt EV,259,0,36500.0,41700.0,Electricity,118,10,0,0,Find.do?action=sbs&id=43663
Chevrolet,2020,Bolt EV,259,0,36620.0,41020.0,Electricity,118,10,0,0,Find.do?action=sbs&id=42191
Chevrolet,2023,Bolt EUV,247,0,27800.0,32300.0,Electricity,115,7.5,0,0,Find.do?action=sbs&id=45750
Chevrolet,2022,Bolt EUV,247,0,33000.0,37500.0,Electricity,115,7.5,0,0,Find.do?action=sbs&id=43954
Chevrolet,2024,Blazer EV AWD,279,0,50195.0,56200.0,Electricity,96,9.5,0,0,Find.do?action=sbs&id=47445
Chevrolet,2019,Volt,393,51,33520.0,38120.0,Electricity,106,4.5,106,8.9,Find.do?action=sbs&id=40924
Chevrolet,2024,Silverado EV,450,0,,,Electricity,67,11,0,0,Find.do?action=sbs&id=47446
Chevrolet,2024,Silverado EV,598,0,,,Electricity,63,12.7,0,0,Find.do?action=sbs&id=46946
Chevrolet,2019,Malibu Hybrid,500,194,28220.0,28220.0,Regular Gasoline,0,0,46,13.0,Find.do?action=sbs&id=40842
Chevrolet,2019,Cruze,472,294,17995.0,25620.0,Unknown,0,0,37,13.5,Find.do?action=sbs&id=40330
Chevrolet,2019,Cruze Hatchback,452,310,19620.0,26120.0,Unknown,0,0,35,13.5,Find.do?action=sbs&id=40240
Chevrolet,2019,Cruze,297,267,17995.0,25620.0,Regular Gasoline,0,0,33,13.7,Find.do?action=sbs&id=40470
